image_path,label
dataset-resized\metal\metal1.jpg,metal
dataset-resized\metal\metal10.jpg,metal
dataset-resized\metal\metal100.jpg,metal
dataset-resized\metal\metal101.jpg,metal
dataset-resized\metal\metal102.jpg,metal
dataset-resized\metal\metal103.jpg,metal
dataset-resized\metal\metal104.jpg,metal
dataset-resized\metal\metal105.jpg,metal
dataset-resized\metal\metal106.jpg,metal
dataset-resized\metal\metal107.jpg,metal
dataset-resized\metal\metal108.jpg,metal
dataset-resized\metal\metal109.jpg,metal
dataset-resized\metal\metal11.jpg,metal
dataset-resized\metal\metal110.jpg,metal
dataset-resized\metal\metal111.jpg,metal
dataset-resized\metal\metal112.jpg,metal
dataset-resized\metal\metal113.jpg,metal
dataset-resized\metal\metal114.jpg,metal
dataset-resized\metal\metal115.jpg,metal
dataset-resized\metal\metal116.jpg,metal
dataset-resized\metal\metal117.jpg,metal
dataset-resized\metal\metal118.jpg,metal
dataset-resized\metal\metal119.jpg,metal
dataset-resized\metal\metal12.jpg,metal
dataset-resized\metal\metal120.jpg,metal
dataset-resized\metal\metal121.jpg,metal
dataset-resized\metal\metal122.jpg,metal
dataset-resized\metal\metal123.jpg,metal
dataset-resized\metal\metal124.jpg,metal
dataset-resized\metal\metal125.jpg,metal
dataset-resized\metal\metal126.jpg,metal
dataset-resized\metal\metal127.jpg,metal
dataset-resized\metal\metal128.jpg,metal
dataset-resized\metal\metal129.jpg,metal
dataset-resized\metal\metal13.jpg,metal
dataset-resized\metal\metal130.jpg,metal
dataset-resized\metal\metal131.jpg,metal
dataset-resized\metal\metal132.jpg,metal
dataset-resized\metal\metal133.jpg,metal
dataset-resized\metal\metal134.jpg,metal
dataset-resized\metal\metal135.jpg,metal
dataset-resized\metal\metal136.jpg,metal
dataset-resized\metal\metal137.jpg,metal
dataset-resized\metal\metal138.jpg,metal
dataset-resized\metal\metal139.jpg,metal
dataset-resized\metal\metal14.jpg,metal
dataset-resized\metal\metal140.jpg,metal
dataset-resized\metal\metal141.jpg,metal
dataset-resized\metal\metal142.jpg,metal
dataset-resized\metal\metal143.jpg,metal
dataset-resized\metal\metal144.jpg,metal
dataset-resized\metal\metal145.jpg,metal
